epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4275,4.02136,15.6352,0.0849,0,0,0,0,4.82455,40.4093,0.13549,0.000126645,0.000126645,0.000126645
2,76.8741,3.95896,13.1882,0.08435,0,0,0,0,4.74917,35.1636,0.13797,0.00024993,0.00024993,0.00024993
3,101.083,3.60915,11.1827,0.07936,0.0004,0.05384,0.00051,0.0001,3.15584,16.4559,0.09067,0.000368132,0.000368132,0.000368132
4,125.125,2.96957,8.90362,0.06389,0.00404,0.09218,0.00464,0.00129,2.70716,12.5861,0.07858,0.000362131,0.000362131,0.000362131
5,149.239,2.63343,7.44683,0.05695,0.00714,0.48084,0.01165,0.00373,2.19502,9.56715,0.05965,0.000354508,0.000354508,0.000354508
6,175.799,2.35562,6.43513,0.05036,0.0047,0.69039,0.02655,0.00828,1.93851,8.32141,0.04974,0.000346885,0.000346885,0.000346885
7,202.11,2.15977,5.8154,0.04403,0.00458,0.89117,0.03804,0.01164,1.75763,7.44915,0.04363,0.000339262,0.000339262,0.000339262
8,228.433,2.07242,5.42883,0.04328,0.00431,0.83793,0.04202,0.01868,2.04501,6.78706,0.05756,0.000331639,0.000331639,0.000331639
9,253.916,1.99412,5.10244,0.04061,0.00346,0.9198,0.05026,0.01916,1.49714,6.08812,0.03759,0.000324016,0.000324016,0.000324016
10,279.114,1.83563,4.78071,0.03611,0.00543,0.93718,0.05845,0.02829,1.79981,5.65318,0.04738,0.000316393,0.000316393,0.000316393
11,304.835,1.85232,4.62156,0.03691,0.00478,0.97755,0.05536,0.02906,1.38059,5.16657,0.03408,0.00030877,0.00030877,0.00030877
12,331.396,1.805,4.39587,0.03579,0.00561,0.98003,0.07567,0.03362,1.60079,4.99807,0.04227,0.000301147,0.000301147,0.000301147
13,357.991,1.73558,4.24073,0.03365,0.00639,0.943,0.06957,0.04735,1.51649,4.63089,0.04095,0.000293524,0.000293524,0.000293524
14,383.015,1.74673,4.11758,0.03539,0.00648,0.97084,0.08406,0.04746,1.42806,4.4047,0.03603,0.000285901,0.000285901,0.000285901
15,408.325,1.71568,3.94135,0.03383,0.05531,0.89918,0.08147,0.05187,1.38243,4.20518,0.03635,0.000278278,0.000278278,0.000278278
16,432.44,1.6643,3.84199,0.03277,0.16121,0.43466,0.07157,0.0499,1.23735,4.04723,0.03033,0.000270655,0.000270655,0.000270655
17,457.287,1.67156,3.7337,0.03307,0.08045,0.54063,0.09592,0.0618,1.24764,3.87422,0.03035,0.000263032,0.000263032,0.000263032
18,481.889,1.64075,3.62861,0.03255,0.70487,0.07213,0.09251,0.0622,1.2284,3.61125,0.0304,0.000255409,0.000255409,0.000255409
19,507.347,1.64048,3.52888,0.03215,0.5443,0.10068,0.10474,0.06871,1.30063,3.53143,0.03409,0.000247786,0.000247786,0.000247786
20,531.953,1.62735,3.45498,0.03157,0.63832,0.06978,0.09924,0.06554,1.21144,3.45318,0.02997,0.000240163,0.000240163,0.000240163
21,556.702,1.62685,3.36343,0.03199,0.14431,0.19747,0.11356,0.0774,1.1891,3.27467,0.02988,0.00023254,0.00023254,0.00023254
22,582.045,1.65699,3.34717,0.03175,0.39177,0.10663,0.14101,0.09716,1.21689,3.20139,0.03006,0.000224917,0.000224917,0.000224917
