epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.398,4.02136,15.6352,0.0849,0,0,0,0,4.8211,40.3742,0.13533,0.000126645,0.000126645,0.000126645
2,62.3549,3.95896,13.1882,0.08435,0,0,0,0,4.7483,35.164,0.13797,0.00024993,0.00024993,0.00024993
3,85.2813,3.60915,11.1827,0.07936,0.0004,0.05384,0.00052,0.0001,3.15104,16.4421,0.09053,0.000368132,0.000368132,0.000368132
4,109.276,2.96957,8.90362,0.06389,0.00404,0.09218,0.00467,0.00129,2.70698,12.5861,0.07862,0.000362131,0.000362131,0.000362131
5,132.204,2.63343,7.44683,0.05695,0.00714,0.48084,0.01156,0.00365,2.19551,9.56744,0.05969,0.000354508,0.000354508,0.000354508
6,155.056,2.35562,6.43513,0.05036,0.0047,0.69039,0.02669,0.00837,1.93772,8.32043,0.04974,0.000346885,0.000346885,0.000346885
7,177.869,2.15977,5.8154,0.04403,0.00458,0.89117,0.03764,0.01156,1.75732,7.4485,0.04364,0.000339262,0.000339262,0.000339262
8,202.538,2.07242,5.42883,0.04328,0.00431,0.83793,0.04085,0.0183,2.04254,6.78479,0.05751,0.000331639,0.000331639,0.000331639
9,226.795,1.99412,5.10244,0.04061,0.00346,0.9198,0.05042,0.0192,1.49722,6.0875,0.0376,0.000324016,0.000324016,0.000324016
10,250.383,1.83563,4.78071,0.03611,0.00543,0.93718,0.05879,0.02833,1.80053,5.65262,0.04742,0.000316393,0.000316393,0.000316393
11,273.349,1.85232,4.62156,0.03691,0.00478,0.97755,0.05565,0.02922,1.3806,5.1664,0.03409,0.00030877,0.00030877,0.00030877
12,296.78,1.805,4.39587,0.03579,0.00561,0.98003,0.07483,0.03319,1.59996,4.99721,0.04226,0.000301147,0.000301147,0.000301147
13,320.952,1.73558,4.24073,0.03365,0.00639,0.943,0.0706,0.04817,1.51628,4.63048,0.04096,0.000293524,0.000293524,0.000293524
14,344.632,1.74673,4.11758,0.03539,0.00648,0.97084,0.08423,0.04754,1.42791,4.40354,0.03605,0.000285901,0.000285901,0.000285901
15,368.075,1.71568,3.94135,0.03383,0.05531,0.89918,0.08146,0.05188,1.38207,4.20452,0.03636,0.000278278,0.000278278,0.000278278
16,391.237,1.6643,3.84199,0.03277,0.16121,0.43466,0.07165,0.04996,1.23815,4.04715,0.03037,0.000270655,0.000270655,0.000270655
17,414.442,1.67156,3.7337,0.03307,0.07973,0.53873,0.09619,0.06201,1.24842,3.87377,0.03039,0.000263032,0.000263032,0.000263032
18,439.572,1.64075,3.62861,0.03255,0.70517,0.07282,0.09264,0.06228,1.22852,3.6108,0.03041,0.000255409,0.000255409,0.000255409
