                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0435,                 4.3275,                 4.3546,                0.00149,                0.43478,                 0.0011,                0.00037,                 2.6346,                 3.9497,                 4.1584,                  8e-05,                  8e-05,                  8e-05
                      2,                 3.0787,                 4.2599,                 4.3481,                 0.0015,                0.43478,                0.00111,                0.00038,                 2.6335,                 3.9476,                 4.1571,             0.00017911,             0.00017911,             0.00017911
                      3,                 3.1147,                 3.9945,                 4.2611,                0.00154,                0.43478,                0.00149,                0.00058,                 2.6262,                 3.9498,                  4.155,             0.00027723,             0.00027723,             0.00027723
                      4,                 2.9468,                 3.5582,                 4.1699,                0.00151,                0.43478,                0.00113,                 0.0004,                 2.6201,                 3.9489,                 4.1524,             0.00037436,             0.00037436,             0.00037436
                      5,                 2.8674,                  3.682,                  4.166,                 0.0015,                0.43478,                0.00121,                 0.0004,                 2.6096,                 3.9532,                 4.1486,              0.0004705,              0.0004705,              0.0004705
                      6,                 2.7734,                 3.1842,                  3.999,                0.00149,                0.43478,                0.00118,                 0.0004,                 2.5997,                  3.959,                 4.1461,             0.00056565,             0.00056565,             0.00056565
                      7,                 2.8267,                 3.2152,                 3.8806,                0.00152,                0.43478,                0.00112,                 0.0004,                 2.5886,                 3.9796,                 4.1449,              0.0006598,              0.0006598,              0.0006598
                      8,                 2.8977,                 3.2474,                 3.7995,                0.00153,                0.43478,                0.00114,                0.00041,                 2.5756,                 3.9939,                 4.1403,             0.00075297,             0.00075297,             0.00075297
                      9,                 2.5756,                  3.107,                 3.6186,                0.00149,                0.43478,                0.00112,                0.00039,                 2.5648,                 3.9375,                 4.1407,             0.00084515,             0.00084515,             0.00084515
                     10,                 2.6531,                  2.919,                 3.5796,                0.00154,                0.44928,                0.00117,                 0.0004,                 2.5391,                 3.9631,                  4.131,             0.00093634,             0.00093634,             0.00093634
                     11,                  2.552,                 2.6942,                 3.4968,                0.00164,                0.47826,                0.00129,                0.00041,                 2.5202,                 3.9982,                 4.1173,              0.0010265,              0.0010265,              0.0010265
                     12,                 2.5309,                 2.8178,                 3.4645,                0.00173,                0.50725,                0.00213,                0.00066,                 2.4949,                 3.5846,                 4.0779,              0.0011157,              0.0011157,              0.0011157
                     13,                 2.4565,                 2.6108,                 3.3786,                0.00179,                0.52174,                0.00263,                0.00078,                 2.4997,                 3.5699,                 4.0629,               0.001204,               0.001204,               0.001204
                     14,                 2.4287,                  2.936,                 3.3904,                0.00183,                0.52174,                0.00288,                0.00088,                 2.5234,                  3.655,                  4.089,              0.0012912,              0.0012912,              0.0012912
                     15,                 2.4046,                 2.8773,                 3.2138,                0.00082,                0.08696,                0.00052,                0.00011,                 2.6105,                  3.746,                 4.1622,              0.0013774,              0.0013774,              0.0013774
                     16,                 2.3487,                 2.9353,                 3.1519,                0.00071,                0.07246,                0.00045,                 0.0001,                 2.6357,                 3.7959,                 4.1458,              0.0014627,              0.0014627,              0.0014627
                     17,                  2.243,                 2.5911,                 3.0772,                  0.001,                0.10145,                0.00075,                0.00018,                 2.6738,                 3.9476,                 4.2161,              0.0015469,              0.0015469,              0.0015469
                     18,                 2.3642,                 2.6396,                 3.1314,                0.00113,                0.11594,                0.00089,                0.00019,                 2.6705,                 3.9969,                 4.2124,              0.0016302,              0.0016302,              0.0016302
                     19,                 2.3589,                  2.687,                 3.1449,                0.00439,                0.42029,                0.01091,                0.00255,                 2.5372,                 3.7822,                  3.863,              0.0017125,              0.0017125,              0.0017125
                     20,                 2.3697,                 2.6156,                 3.0285,                0.48297,                0.44679,                 0.3829,                 0.1359,                 2.0565,                 2.4099,                 2.9135,              0.0017938,              0.0017938,              0.0017938
